"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","aircraft","plane","flight","crashed","engine"
"2","crew","crashed","pilot","approach","failure"
"3","altitude","runway","weather","airport","takeoff"
"4","struck","landing","mountain","land","taking"
"5","ground","cargo","conditions","miles","control"
"6","killed","fire","route","attempting","left"
"7","feet","short","poor","fog","shortly"
"8","route","feet","accident","plane","loss"
"9","approach","accident","flying","lost","failed"
"10","fire","poor","low","cargo","lost"
